comp,job,location,range,req_location,salary
Trulia,Analytics Implementation Specialist,"San Francisco, CA",D,CA,
Bridgepoint Education,Senior Data Analyst,"San Diego, CA",D,CA,
Payette Group,Data Scientist,"Mountain View, CA",D,CA,
PeerStreet,Sr. Data Scientist,"Manhattan Beach, CA",D,CA,
NVIDIA,Compute Performance Developer Technology Engineer,"Santa Clara, CA",D,CA,
Dropbox,"Director, Data Scientist","San Francisco, CA",D,CA,
Baidu USA,Software Engineer -Autonomous Driving,"Sunnyvale, CA 94089",D,CA,
Pulsate,Data Scientist / Analyst (Internship),"San Francisco, CA",D,CA,
Baidu USA,Product Manager - Big Data Lab,"Sunnyvale, CA 94089",D,CA,
Cadence,Deep Learning Intern,"San Jose, CA",D,CA,
tronc,Data Engineer,"Los Angeles, CA",D,CA,
Carnegie Institution,Computational quantitative genetics postdoc position,"Palo Alto, CA",D,CA,
Uber,"Business Insights Analyst, Physical Security","San Francisco, CA 94105 (Financial District area)",D,CA,
San Diego Generic Pharmaceuticals,Analytical Scientist - Method Dev (SAN DIEGO),"San Diego, CA",D,CA,
Coupang,Senior Data Scientist - Search,"Palo Alto, CA",D,CA,
SCIEX,"Business Analyst, Service Business Operations","Redwood City, CA",D,CA,
TARGET,Lead Data Scientist,"Sunnyvale, CA",D,CA,
Celgene Corporation,"Senior Associate Scientist, Celgene Quanticel Research / Cell Biologist",California,D,CA,
AT&T,Big Data Technical Intern I,"Palo Alto, CA",D,CA,
"Illumina, Inc.",Scientist 1 – Oncology DNA / RNA Analysis,"San Diego, CA",D,CA,
The Climate Corporation,Data Science Team Lead: Weather Science Statistics,"San Francisco, CA",D,CA,
Thermo Fisher Scientific,Staff Scientist,"San Francisco, CA",D,CA,
AIR FORCE,Computer Scientist,"Edwards AFB, CA",D,CA,92455.5
Riot Games,Data Scientist,"Los Angeles, CA",D,CA,
Walmart eCommerce,Machine Learning Engineer,"Sunnyvale, CA",D,CA,
Alignment Healthcare,"Senior Manager, Data & Financial Analysis","Orange, CA",D,CA,
Boehringer Ingelheim,"Scientist, Analytical Science","Fremont, CA",D,CA,
Baidu USA,Director of Communications - Baidu Research,"Sunnyvale, CA 94089",D,CA,
Lawrence Livermore National Laboratory,Business Specialist 2,"Livermore, CA 94550",D,CA,
Zephyr Health,Data Scientist,"San Francisco, CA 94105 (Financial District area)",D,CA,
Adobe,Marketing & Customer Insights: Advanced Analytics – Data Scientist,"San Jose, CA",D,CA,
Viant,Data Scientist,"Irvine, CA",D,CA,
Kites Consulting,Data Scientist - CA,"Los Angeles, CA 90005",D,CA,
A9.com,Data Sciences Engineer - Search Insights,"Palo Alto, CA",D,CA,
Codexis,Analytical Development Scientist,"Redwood City, CA",D,CA,
A9.com,"Software Engineer – Machine Learning, Search, Query processing","Palo Alto, CA",D,CA,
Ford Motor Company,Automated Driving Research Scientist – Machine Learning,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",D,CA,
Uber,"Data Science - Strategic Partnerships, Tech","San Francisco, CA 94103 (South Of Market area)",D,CA,
"Seven Hills Software Technologies,Inc",Machine Learning/Artificial intelligence,"San Francisco, CA",D,CA,
UCLA Health,Data Scientist and Application Programmer,"Los Angeles, CA",D,CA,
"University of California, Davis",RESEARCH STATISTICIAN/PROGRAMMER,"Sacramento, CA",D,CA,73012.5
Celgene,"Senior Associate Scientist, Celgene Quanticel Research / Cell Biologist",California,D,CA,
Electronic Arts,"Sr. Manager, Data Science","Redwood City, CA 94065",D,CA,
Corporate Labs Technology,Data Scientist (Natural Language Processing),"Brisbane, CA",D,CA,145000.0
Uber,Data Scientist - Telematics,"San Francisco, CA 94103 (South Of Market area)",D,CA,
Element Analytics,Data Engineer,"San Francisco, CA",D,CA,
AdRoll,"Data Scientist, Advanced Optimization","San Francisco, CA 94103 (South Of Market area)",D,CA,
LiveRamp,Statistically Significant Data Scientist,"San Francisco, CA",D,CA,
MeetMe,Senior Data Engineer,"San Francisco, CA",D,CA,
Autodesk,Intern Data Scientist for Product Analytics,"San Francisco, CA",D,CA,
Thomson Reuters U.S. Inc.,Principal Data Scientist SAS,"San Francisco, CA",D,CA,
Google,"Cytometry Research Associate, Verily Life Sciences","South San Francisco, CA",D,CA,
The Climate Corporation,Quantitative Analyst: Remote Sensing,"San Francisco, CA",D,CA,
eBay,Senior Data Scientist/Applied Researcher,"San Jose, CA",D,CA,
Uber,Data Scientist - Forecasting,"San Francisco, CA 94103 (South Of Market area)",D,CA,
Acorns,Data Scientist,"Irvine, CA",D,CA,
Applied Materials Inc.,Physicist/Scientist III Senior - (E3),"Santa Clara, CA",D,CA,
City Of Hope,"Data Scientist, Clinical Informatics","Duarte, CA 91010",D,CA,
eBay,Sr Manager Advertising Analytics,"San Jose, CA",D,CA,
"Aspera, an IBM Company",Data Analytics Engineer at AsperaLabs,"Emeryville, CA",D,CA,
Lockheed Martin,Research Scientist,"Palmdale, CA",D,CA,
A9.com,Manager - Data Sciences - Forecasting and Optimization,"Palo Alto, CA",D,CA,
Guardant Health,"Bioinformatics Scientist, BioPharma Collaborations","Redwood City, CA",D,CA,
IAC Publishing Labs,Data Science Manager,"Oakland, CA",D,CA,
Senti Biosciences,"R&D Scientist, Immunology","South San Francisco, CA",D,CA,
Oben,Deep Learning Scientist,"Pasadena, CA",D,CA,
City Of Hope,Research Business Analyst,"Duarte, CA 91010",D,CA,
SLAC National Accelerator Laboratory,Research Associate – Experimental,"Menlo Park, CA",D,CA,
Amgen,Senior Associate Scientist Immuno Assay,"South San Francisco, CA 94080",D,CA,
"The McConnell Group, Inc.",Sr. Computer Scientist/Programmer,"Travis AFB, CA",D,CA,
Uber,Data Scientist (Growth) - Uber for Business,"San Francisco, CA 94103 (South Of Market area)",D,CA,
Elevate Recruiting Group,Data Engineer/Data Scientist,"San Francisco, CA",D,CA,
Uber,Data Scientist (Core Product) - Uber for Business,"San Francisco, CA 94105 (Financial District area)",D,CA,
Precision For Value,"Research Scientist, Evidence Synthesis","Oakland, CA",D,CA,
Precision For Value,"Research Scientist, Economic Modeling","Oakland, CA",D,CA,
Adadyn,Senior Data Scientist,"San Francisco, CA",D,CA,
Notable Labs,Associate Scientist,"San Francisco, CA",D,CA,
Payette Group,Data Scientists - Machine Learning Expert,"Mountain View, CA",D,CA,
Twitch,Data Science Manager,"San Francisco, CA",D,CA,
Salesforce,Quantitative Researcher / Business Analyst,"San Francisco, CA",D,CA,
The Climate Corporation,Lead Senior Soil Scientist - P&K,"San Francisco, CA",D,CA,
Spacequant,Computer Vision Engineer / Data Scientist,"San Francisco, CA",D,CA,
Accuray Incorporated,"Manager/Architect, Business Intelligence and Big Data","Sunnyvale, CA 94089",D,CA,
Oracle,Sr. Data Scientist,"Redwood Shores, CA",D,CA,
TuSimple LLC,Deep Learning Engineer (Full-time/Internship),"San Diego, CA",D,CA,
Datanyze,Machine Learning Engineer,"San Mateo, CA 94402 (Beresford area)",D,CA,
AstraZeneca,"Scientist I / Scientist II, GXP Bioanalysis -- (Mountain View, CA)","Mountain View, CA",D,CA,
Allstate Insurance,Lead Research Engineer - Real Time Automotive Sensor Data Processing,"Menlo Park, CA 94025",D,CA,
Trulia,"Senior Data Scientist, Search and Local","San Francisco, CA",D,CA,
Millennium Engineering and Integration Company,Computer Scientist III,"Moffett Field, CA",D,CA,
BASF Corporation,"Scientist III, San Diego","San Diego, CA 92121",D,CA,
Cedars-Sinai,Research Operations Associate,"Los Angeles, CA",D,CA,
AstraZeneca,"Scientist I, Fluorescent Microscopy & Bioanalysis -- (Mountain View, CA)","Mountain View, CA",D,CA,
DataVisor,Software Engineering Intern,"Mountain View, CA",D,CA,
Alere,Senior Research & Development Scientist - Toxicology,"San Diego, CA 92121",D,CA,
Triple Ring Technologies,Senior Scientist,"Fremont, CA",D,CA,
Elti Solutions,Machine Learning Engineer,"Palo Alto, CA",D,CA,
"Pharmacyclics, LLC",Senior Statistical Analyst (Biometrics),"Sunnyvale, CA",D,CA,
SutroVax Inc.,Associate Scientist,"San Francisco, CA",D,CA,
Theranos,"Sr. Scientist, Hybridoma Generation","Palo Alto, CA",D,CA,
Xencor,"Lead/Senior Scientist, Pharmacokinetics","Monrovia, CA 91016",D,CA,
SRI International,Assoc/Program Director--Cognition Research Program,"Menlo Park, CA 94025",D,CA,
Nurix,SENIOR/PRINCIPAL INFORMATICS ANALYST,"San Francisco, CA 94158 (South Of Market area)",D,CA,
Winton Capital,Data Visualization Designer - San Francisco,"San Francisco, CA",D,CA,
BSI Financial Services,Data Scientist/Statistician,"Irvine, CA",D,CA,
Lookout,Principal Data Engineer,"San Francisco, CA 94111 (Financial District area)",D,CA,
Precision Health Economics,Research Statistician,"Oakland, CA",D,CA,
Educational Testing Service,Researcher,California,D,CA,
Thermo Fisher Scientific,"Scientist III, R&D (Toxicology)","Fremont, CA 94538 (Irvington area)",D,CA,
Denali,"Scientist, Discovery Pharmacology","South San Francisco, CA",D,CA,
BioMarin Pharmaceutical Inc.,"Research Associate 1/2, BioAnalytical Research & Development","San Rafael, CA",D,CA,
"Integrated DNA Technologies, Inc",Bioinformatics Staff Scientist,"Redwood City, CA",D,CA,
GenMark Diagnostics,Senior Product Transfer Scientist,"Carlsbad, CA",D,CA,
Yahoo! Inc.,Research Scientist,"Sunnyvale, CA",D,CA,
Nektar,"Sr. Scientist, Medicinal Chemistry","San Francisco, CA",D,CA,
Aarkay Technologies Inc.,Big Data Machine Learning Engineer,"San Francisco Bay Area, CA",D,CA,
A9.com,Software Development Internship – Machine Learning (Summer 2017),"Palo Alto, CA",D,CA,
Gigster,Data Engineer,"San Francisco, CA",D,CA,
Affirm,Risk Quality Analyst,"San Francisco, CA 94126 (Financial District area)",D,CA,
Samsung Electronics America,Big Data Platform Engineer,"Mountain View, CA",D,CA,
Samsung,Big Data Platform Engineer,"Mountain View, CA",D,CA,
GE Digital,Data Scientist,"San Ramon, CA",D,CA,
Tribogenics,Materials Engineer,"Los Angeles, CA",D,CA,
"Aspera, an IBM Company",Software Engineer - Aspera Analytics (Rails/Angular/D3),"Emeryville, CA",D,CA,
BOLD,Sr. Data Scientist,"San Francisco, CA",D,CA,
Netflix,"Senior Data Scientist, Content Science & Algorithms","Beverly Hills, CA 90210",D,CA,
Gilead Sciences,Research Scientist II- Inflammation,"Foster City, CA",D,CA,
Torrid,Marketing Data Scientist,"Industry, CA",D,CA,
Uber,Data Scientist - Ubernomics,"San Francisco, CA 94103 (South Of Market area)",D,CA,
Gilead,Research Scientist II- Inflammation,"Foster City, CA",D,CA,
"ERC, Inc.",Research Scientist/Engineer - ERC,"Edwards AFB, CA 93524",D,CA,
The Wonderful Company LLC,Statistical Analyst,"Los Angeles, CA 90064",D,CA,
Cepheid,Failure Investigation Scientist,"Sunnyvale, CA",D,CA,
"GenapSys, Inc.",Signal Processing & Data Analyst,"Redwood City, CA",D,CA,
Blackwood Seven,Senior Marketing Scientist,"Los Angeles, CA",D,CA,
Microsoft,Data Scientist - Yammer,"San Francisco, CA",D,CA,
Allergan,"Principal Scientist, Analytical Sciences","Irvine, CA 92612",D,CA,
Stride Search,Data Scientist,"San Francisco, CA",D,CA,
"Pandora Media, Inc.",Senior Scientist,"Oakland, CA",D,CA,
Emcore,"Staff Scientist, LiNbO3","Alhambra, CA 91803",D,CA,
Makro Scientific,Scientist II,"Pleasanton, CA",D,CA,
Google,"Strategy, Planning and Analysis Manager, Staffing","Mountain View, CA",D,CA,
Apple,Camera System Engineer,"Santa Clara Valley, CA",D,CA,
Theranos,"Scientist, Chemistry Assay Development","Palo Alto, CA",D,CA,
Tesla Motors,Staff Data Engineer,"Palo Alto, CA",D,CA,
Centrillion,"Scientist II, Product Science","Palo Alto, CA",D,CA,
EMD,Principal Scientist,"Carlsbad, CA",D,CA,
Bio-Rad Inc.,Software Developer IV Non-IT,"Hercules, CA",D,CA,
Coursera,Machine Learning Engineer,"Mountain View, CA 94041",D,CA,
Intrexon Corporation.,Research Analyst,"South San Francisco, CA",D,CA,
Intellipro Group Inc.,Machine Learning Expert,"San Diego, CA",D,CA,
Payette Group,Sr. Data Analysis,"Menlo Park, CA",D,CA,
"TeraRecon, Inc.","Research Engineer, Machine Learning",California,D,CA,
Celgene,"Scientist II, Computational Chemistry","San Diego, CA",D,CA,
Fullscreen,"Director, Business Intelligence","Playa Vista, CA",D,CA,
USC Center for Applied Molecular Medicine,Statistician I,"Los Angeles, CA 90033",D,CA,
Makro Technology,Scientist II,"Pleasanton, CA",D,CA,
Lawrence Livermore National Laboratory,Postdoctoral Research Staff Member - Computational Surface Modeler,"Livermore, CA 94550",D,CA,
ENVIRON International Corporation,Environmental Scientist/Engineer,"San Francisco, CA",D,CA,
Rockstar San Diego,Analytics Project Manager,"Carlsbad, CA",D,CA,
AstraZeneca,Scientist,"Redwood City, CA",D,CA,
KPMG,Manager - Data Scientist,"Irvine, CA 92618",D,CA,
Facebook,"Manager, Data Engineering","Menlo Park, CA",D,CA,
Audentes Therapeutics,Director of Research Programs,"San Francisco, CA 94108 (Financial District area)",D,CA,
Staples,Software Engineer INV,"San Mateo, CA 94404",D,CA,
"Profusa, Inc.",Sensor Scientist/Engineer,"South San Francisco, CA 94080",D,CA,
Phoenix Bioinformatics,Bioinformatician,"Redwood City, CA",D,CA,
Vital Therapies Inc.,QC Analytical Development Scientist,"San Diego, CA 92128",D,CA,
Adobe,"Specialist, Testing and Optimization","San Jose, CA",D,CA,
Symantec,Research Analyst,"San Francisco, CA",D,CA,
Northrop Grumman,Mgr Programs 2,"Monterey, CA",D,CA,
SAIC,Senior Data Scientist Job,"San Diego, CA 92101",D,CA,
Square,"Senior Data Scientist, Capital","San Francisco, CA 94103 (South Of Market area)",D,CA,
Fitbit,"Senior Data Analyst, Interactive","San Francisco, CA 94105 (Financial District area)",D,CA,
Smule,Visualization Analyst,"San Francisco, CA 94107 (South Of Market area)",D,CA,
Counsyl,Sales Operations Analyst,"South San Francisco, CA 94080",D,CA,
Workbridge Associates,Java Software Engineer,"San Jose, CA 95113 (Downtown area)",D,CA,130140.0
"TrueCar, Inc.",Analyst,"Santa Monica, CA",D,CA,
Biolegend,Scientist - Custom Solutions Team,"San Diego, CA",D,CA,
HouseCanary,Data Engineering | Software Engineer,"San Francisco, CA 94107 (South Of Market area)",D,CA,
Facebook,"Data Scientist, Analytics","Menlo Park, CA",E,CA,
Biostrap,Machine Learning Engineer,"Mountain View, CA",E,CA,
Microsoft,Data Scientist II,"Sunnyvale, CA",E,CA,
Anschutz Entertainment Grp Inc,Data Scientist,"Los Angeles, CA",E,CA,
SAP,Data Scientist Developer Job,"Palo Alto, CA",E,CA,
Groupon,Data Scientist/Testing & Measurement,"Palo Alto, CA 94306 (Barron Park area)",E,CA,
Intuit,Associate Data Scientist,"Mountain View, CA 94039",E,CA,
Eurofins,Data Scientist/Biologics Engineer,"Thousand Oaks, CA",E,CA,
Samsung Accelerator,Data Engineer/Scientist,"San Francisco, CA",E,CA,
Get It Mobile,Data Scientist,"San Jose, CA",E,CA,
Apple,Data Scientist - Fitness & Health,"Santa Clara Valley, CA",E,CA,
Salesforce,"Customer Growth, Data Scientist","San Francisco, CA",E,CA,
Chegg,"Data Scientist, Customer Success & Student Outcomes","Santa Clara, CA 95054",E,CA,
Evalstat Research Institute,Statistician,"Palo Alto, CA",E,CA,
Northrop Grumman,Data Scientist 3/4,"Redondo Beach, CA 90278",E,CA,
Natera,Senior Scientist,"San Carlos, CA 94070",E,CA,
Uber,Data Scientist - Data Infrastructure,"San Francisco, CA 94103 (South Of Market area)",E,CA,
Collective Health,Data Scientist,"San Francisco, CA",E,CA,
SAP,Senior Data Scientist Job,"Palo Alto, CA",E,CA,
KPMG,Data Scientist,"Irvine, CA 92618",E,CA,
Cambridge International Systems,Senior Scientist,"Riverside, CA",E,CA,
Udemy,Sr. Data Scientist,"San Francisco, CA",E,CA,
Leidos,Research Scientist / Data Analyst,"San Diego, CA 92102",E,CA,
Adobe,Research Scientist,"San Francisco, CA",E,CA,
NIBR,"Data Scientist - Novartis/GNF in La Jolla, CA","La Jolla, CA",E,CA,
Genomics Institute of the Novartis Research Founda...,"Data Scientist - Novartis/GNF in La Jolla, CA","La Jolla, CA",E,CA,
Brandman University,Senior Research Analyst,"Irvine, CA 92618",E,CA,
Baidu USA,Machine Learning Engineer,"Sunnyvale, CA 94089",E,CA,
Sony Pictures Entertainment Inc.,"Analyst, Research","Culver City, CA 90232",E,CA,
"23andMe, Inc.","Senior Scientist, in vivo Biology","Redwood City, CA",E,CA,
Verizon,Senior Data Scientist,"Palo Alto, CA 94301 (Professorville area)",E,CA,
Adara Media Inc,Data Scientist - Mountain View,"Mountain View, CA",E,CA,
Tesla Motors,"Data Scientist, Autopilot Maps","Palo Alto, CA",E,CA,
Apple,Machine Learning Infrastructure Engineer - Imaging & Vision Technologies,"Santa Clara Valley, CA",E,CA,
City Of Hope,"Manager, Data Safety & Monitoring Office","Duarte, CA 91010",E,CA,
Roche,"Principal Data Scientist, Bioinformatics, Sequencing","San Jose, CA",E,CA,
EXPERIAN,Senior Research Analyst,"Costa Mesa, CA",E,CA,
Spar Information Systems,Data Scientist,"Orange, CA",E,CA,
FivePrime Therapeutics,"Research Associate, Protein Chemistry","South San Francisco, CA 94080",E,CA,
Elevate Recruiting Group,Data Scientist,"Sunnyvale, CA",E,CA,
"Wise.io, Inc.",Data Scientist,"Berkeley, CA",E,CA,
Thermo Fisher Scientific,Market Research Analyst,"Carlsbad, CA",E,CA,
ColorOfChange.org,Data Scientist,"Oakland, CA",E,CA,
BOLD,Data Scientist,"San Francisco, CA",E,CA,
eBay,Data Scientist 3,"San Jose, CA",E,CA,
Qualcomm,IPR Research & Contracts Analyst,"San Diego, CA",E,CA,
Ten-X,Senior Data Scientist,"Belmont, CA",E,CA,
Diffbot,Machine Learning Engineer,"Palo Alto, CA",E,CA,
"Illumina, Inc.",Bioinformatics Scientist 1,"San Diego, CA",E,CA,
Amazon Corporate LLC,Data Scientist III - Amazon Studios - Santa Monica,"Santa Monica, CA",E,CA,
SAP,Frontend Developer for Machine Learning development Job,"Palo Alto, CA",E,CA,
Intel,Research Scientist- Intel Contract Employee,"Santa Clara, CA 95052",E,CA,
Intellipro Group Inc.,Big Data Engineer,"Santa Clara, CA",E,CA,
Walmart eCommerce,Machine Learning Scientist,"Sunnyvale, CA",E,CA,
Natero,Machine Learning Engineer,"Mountain View, CA 94040",E,CA,
Stem Inc,Senior Data Scientist,"San Francisco Bay Area, CA",E,CA,
University of California San Francisco,Research Finance Analyst,"San Francisco, CA",E,CA,
Vertex Pharmaceuticals,"Senior Research Scientist, Pharmacology","San Diego, CA 92121",E,CA,
Adobe,Machine Learning Scientist,"San Jose, CA",E,CA,
SAP,Business Developer for Machine Learning development Job,"Palo Alto, CA",E,CA,
Salesforce,Data Scientist,California,E,CA,
Lawrence Berkeley National Laboratory,Staff Scientist (Particle Data Group - Physics Division),"Berkeley, CA 94720",E,CA,
SAP,Data Scientist - SAP Innovation Center Network Job,"Palo Alto, CA",E,CA,
Theravance Biopharma,"Scientist-Sr. Scientist, Analytical Development","South San Francisco, CA",E,CA,
Facebook,"Research Scientist, Connectivity Lab Intern","Menlo Park, CA",E,CA,
Goodwin Procter LLP,Research Analyst,"Menlo Park, CA 94025",E,CA,
Keysight Technologies,Computer Science Researcher,"Santa Clara, CA",E,CA,
GUESS?. Inc.,CRM Data Scientist,"Los Angeles, CA",E,CA,
Yahoo! Inc.,Sr. Research Scientist- Ads,"Sunnyvale, CA",E,CA,
Samsung,Senior Data Scientist– e-Commerce,"Mountain View, CA",E,CA,
Molina Healthcare,"Analyst, Research","Long Beach, CA 90802",E,CA,
Wondfo USA,Data Scientist,"San Diego, CA 92121",E,CA,48200.0
University of California Berkeley,Lecturer - Statistics,"Berkeley, CA",E,CA,
Facebook,"Applied Research Scientist, Speech Recognition Language Modeling","Menlo Park, CA",E,CA,
FluxErgy,Development and Application Scientist,"Irvine, CA 92618",E,CA,
EXPERIAN,"Senior Data Scientist, Marketing Analytics","Costa Mesa, CA",E,CA,
Plexxikon,Research Informatics Specialist,"Berkeley, CA 94710",E,CA,
"InsideSales.com, Inc.",Sr. Data Scientist,"San Mateo, CA",E,CA,
Redfish Technology - High Tech Executive Recruiter...,Data Scientist,"Los Angeles, CA",E,CA,
"OSI Engineering, Inc.","Device Insights Data Scientist in Mountain View,CA","Mountain View, CA",E,CA,
Huawei,Big Data Engineer,"Santa Clara, CA",E,CA,
Penn Schoen Berland,Market Research Analyst - Media & Entertainment,"Los Angeles, CA",E,CA,
Catalina Marketing,"Sr. Analyst, Data Science","San Jose, CA",E,CA,
ViaSat,Data Scientist,"San Diego, CA",E,CA,
McKinsey & Company,"Product & Delivery Analyst - Healthcare Analytics, McKinsey Solutions","Silicon Valley, CA",E,CA,
Uber,Data Scientist- Experimentation,"San Francisco, CA 94103 (South Of Market area)",E,CA,
"HR Unlimited, Inc.",Statistical Analyst,"Santa Ana, CA",E,CA,
BayOne Solutions,Data Scientist,"Sunnyvale, CA",E,CA,
AIR FORCE,Palace Acquire Operations Research Analyst,"Edwards AFB, CA",E,CA,64018.0
Exelixis Inc.,Senior Scientist II,"South San Francisco, CA 94080",E,CA,
Palo Alto Networks,Intern: Data Science,"Santa Clara, CA 95054",E,CA,
PRO Unlimited @ facebook,Research Analyst,"Menlo Park, CA 94025",E,CA,
Ancestry,Senior Data Scientist,"San Francisco, CA",E,CA,
Wuxi AppTec,"Scientist, Analytical Chemistry","San Diego, CA",E,CA,
"Rexford Industrial Realty, Inc.",Sr Research Analyst,"Los Angeles, CA",E,CA,
University of Southern California,Statistician I,"Los Angeles, CA",E,CA,
SAGE Publishing,"Data Scientist, Journals","Thousand Oaks, CA",E,CA,
University of Southern California,Programmer Analyst I,"Los Angeles, CA",E,CA,
DuPont,Scientist I / II - Applications Research/Biochemistry (PhD),"Palo Alto, CA",E,CA,
Thermo Fisher Scientific,Bioinformatics Scientist,"Santa Clara, CA",E,CA,
Union Bank,"Data Scientist - SQL Developer, Assistant Vice President","San Diego, CA",E,CA,
Google,"Quantitative Business Analyst, YouTube","San Bruno, CA",E,CA,
Haley & Aldrich,Senior Scientist,"San Diego, CA",E,CA,
CrowdStar,Data Scientist,"Burlingame, CA 94010",E,CA,
USA16 - US - Q2Solutions,Senior Scientist,"San Juan Capistrano, CA",E,CA,
Uber,Data Science Technical Sourcer,"San Francisco, CA 94103 (South Of Market area)",E,CA,
Workbridge Associates,Data Scientist for Fitness Wearable Company,"Mountain View, CA",E,CA,150000.0
EMD,Research Scientist II,"Temecula, CA",E,CA,
Huawei,"Staff Engineer, Big Data","Santa Clara, CA",E,CA,
FICO,"Principal Scientist (Cyber, ATM, Mobile)","San Diego, CA",E,CA,
"INQU,LLC",Computer Scientist,"Edwards AFB, CA",E,CA,
UC DAVIS HEALTH SYSTEM,Clin. Research Finance Analyst,"Sacramento, CA",E,CA,
"Williams-Sonoma, Inc.","Data Scientist, Market Strategy and Analytics","San Francisco, CA 94111 (Financial District area)",E,CA,
Oracle,Big Data Engineer,"Redwood Shores, CA",E,CA,
Zenefits,Data Scientist,"San Francisco, CA 94110 (Mission area)",E,CA,
Thermo Fisher Scientific,Sr Field Application Scientist,California,E,CA,
NORCAL MUTUAL INSURANCE COMPANY,Product Research Analyst,"San Francisco, CA 94111 (Financial District area)",E,CA,
Virtually Live,Data Scientist,"San Francisco, CA",E,CA,
Transwestern,Research Analyst,"San Francisco, CA 94104 (Financial District area)",E,CA,
Thermo Fisher Scientific,Scientist II,"Fremont, CA 94538 (Irvington area)",E,CA,
Big Heart Pet Brands,Scientist,"Terminal Island, CA",E,CA,
Facebook,"Applied Research Scientist, Speech Recognition Acoustic Modeling","Menlo Park, CA",E,CA,
MDRC,Research Analyst (6102-60),California,E,CA,
DuPont,Scientist II Structural Enzymologist,"Palo Alto, CA",E,CA,
Glassdoor,"Senior Data Analyst, Search","San Francisco, CA",E,CA,
QTS,TESS Computer Scientist - NASA,"Mountain View, CA",E,CA,
Einstein Assembly,Data Scientist,"Irvine, CA",E,CA,
6sense,Data Scientist,"San Francisco, CA",E,CA,
Lygos,METABOLIC ENGINEERING: SCIENTIST III,"Berkeley, CA",E,CA,
Medtronic,Principal R&D Engineer,"Santa Ana, CA",E,CA,
"Pandora Media, Inc.","Sr. Scientist, Music Engagement Research","Oakland, CA",E,CA,
Stanford University,Senior Institutional Research Analyst,"Stanford, CA 94305",E,CA,
"GenapSys, Inc.",Senior Bioinformatician,"Redwood City, CA",E,CA,
Allergan,"Principal Scientist, Physical Chemistry Pharmaceutics","Irvine, CA 92612",E,CA,
Payoff,Data Analytics Intern,"Costa Mesa, CA 92626",E,CA,
Dell,Principal Software Engineer - Big Data / Machine Learning,"Santa Clara, CA",E,CA,
Corporate Labs Technology,Data Scientist (Machine Learning),"Brisbane, CA",E,CA,145000.0
Kantar Millward Brown,Market Research Client Analyst,"San Francisco, CA",E,CA,
Clorox,Data Scientist 1,"Pleasanton, CA 94588",E,CA,
Gilead Sciences,Research Scientist I- Analytical Operations,"Foster City, CA",E,CA,
"Omnivision Technologies, Inc",Marketing Intelligence Research Analyst,"Santa Clara, CA 95054",E,CA,
Co Tap,Senior Quantitative Product Analyst,"San Francisco, CA",E,CA,
GOAT,Data Scientist,"Culver City, CA",E,CA,
Ambry Genetics,Research Associate I,"Aliso Viejo, CA 92656",E,CA,
California State University,SENIOR DASHBOARD DATA SCIENTIST (160050),"Los Angeles, CA",E,CA,94083.0
Hulu,Distribution Partner Associate,"Santa Monica, CA",E,CA,
Deloitte,Advanced Analytics Enablement Big Data Manager,"San Francisco, CA",E,CA,
ForeScout,Data Scientist,"San Jose, CA",E,CA,
Google,"Product Analytics Lead, Data Science","Mountain View, CA",E,CA,
Humanyze,Software Engineer (Analytics),"Palo Alto, CA",E,CA,
Facebook,Decision Scientist,"Menlo Park, CA",E,CA,
Uber,"Data Scientist - Strategic Partnerships, Financial Services","San Francisco, CA 94103 (South Of Market area)",E,CA,
FocusKPI Inc.,Data Engineer,"San Diego, CA",E,CA,
inMarket,Data Scientist,"Los Angeles, CA",E,CA,
Nucleus 10,Hadoop Spark,"Sunnyvale, CA",E,CA,
Neozene,Product Development Scientist,"Redwood City, CA",E,CA,
California State University - Fullerton,Research Grants Specialist (Administrative Analyst/Specialist - Exempt II),"Fullerton, CA",E,CA,67705.0
ThreatMetrix,"Technical Business Analyst - San Jose, CA","San Jose, CA 95113 (Downtown area)",E,CA,
"The AEgis Technologies Group, Inc.",Space Operations Research Analyst,"El Segundo, CA",E,CA,
Gladstone Institutes,Research Technologist- Behavioral Core,"San Francisco, CA 94158 (South Of Market area)",E,CA,
Genentech,Statistical Scientist - Product Development Biostatistics,"South San Francisco, CA",E,CA,
Calsoft Labs,"Systems Analyst, Staff (EDA / DATA Scientist)","San Diego, CA 92121",E,CA,
Booz Allen Hamilton,"Defense Research Analyst, Mid","San Diego, CA 92108",E,CA,
SocialCode,"Staff Engineer, Data Analytics","San Francisco, CA",E,CA,
Baidu USA,Research Scientist - Institute of Deep Learning,"Sunnyvale, CA 94089",E,CA,
Weston Solutions,Project Scientist,"Carlsbad, CA 92008",E,CA,
Specific Technologies,"Data Scientist, Bioinformatics and Medical Predictive Analytics","Mountain View, CA",E,CA,
Confie,Business Analyst,"Huntington Beach, CA",E,CA,
Ayasdi,Technical Writer,"Menlo Park, CA 94025",E,CA,
Evidera,"Research Scientist - Meta Research - San Francisco, CA","San Francisco, CA",E,CA,
Lygos,METABOLIC ENGINEERING/FERMENTATION: SCIENTIST I,"Berkeley, CA",E,CA,
Chegg,"Data Analyst, Customer Success & Student Outcomes (CONTRACTOR)","Santa Clara, CA 95054",E,CA,
