,rating,tconst,title,year,cast1,cast2,cast3,cast4,director,genre1,genre2,plot,date,runtime,tagline,writers
1983,,tt2254290,Le sang et le lait,1991,Virgílio Castelo,Laura Soveral,,,Giovanni Pascalicchio,Drama,,,1991,,,Giovanni Pascalicchio
1994,,tt1372280,Move the Crowd,1992,Margaret Cho,Ed Lover,,,,Comedy,,,1992-07,,,Mark E. Corry
2039,6.5,tt1808285,Mala matura 1947,2010,Maciej Antoniak,Dagmara Bak,Sonia Bak,Stanislaw Banas,Janusz Majewski,Drama,,,2011-04-15,109,,Janusz Majewski
2068,6.9,tt2382396,Joe,2013,Nicolas Cage,Tye Sheridan,Gary Poulter,Ronnie Gene Blevins,David Gordon Green,Drama,,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",2014-04-11,117,,Gary Hawkins
2075,,tt1353052,The Kôsuke Kindaichi Series 13: The Village of the Eight Tomb,1991,Ikkô Furuya,Mari Natsuki,Shingo Tsurumi,Miyoko Asada,Ikuo Sekimoto,Mystery,,,1991-07-01,93,,Ikuo Sekimoto
2086,6.6,tt2201255,Redemption of a Dog,2012,Chris Bolton,Ciarra Carter,Kesha Ealy,Melyssa Ford,Paul D. Hannah,Comedy,Drama,Will Austin enjoys being a successful executive and enjoys an endless supply of women until he meets one that stands out from the rest.,2012-08-28,92,,Paul D. Hannah
2117,,tt1777557,Candles & Carols,1997,Barbara Douglass,James L. Edwards,,,David Armstrong,Musical,,"Live musical concert from Reardon Auditorium on the Anderson University campus, featuring the university's student musical ensembles.",1997-12,59,,
2119,,tt2073577,Hain,1977,Salih Kirmizi,Tugay Toksöz,Esref Kolçak,Bulut Aras,Yücel Hekimoglu,Adventure,Crime,,1977,,,Yavuz Isiklar
2122,,tt2659972,The Penance List,,Gary Stretch,,,,,Thriller,,"WHAT HAPPENS when a scorned childhood sweetheart grows into a damaged bi-sexual tour de force, when a fun loving career girl...",,,"Passion, Obsession, Betrayal, Death.",Gary Stretch
2132,,tt3589968,Courier X,2016,Udo Kier,James C. Burns,Bron Boier,Richard Gleason,Thomas Gulamerian,Drama,,A surreptitious smuggler gets solicited by the CIA to help cover-up the Nicaraguan blackmail attempt on the CIA...,,138,,Thomas Gulamerian
2135,,tt2501216,Bang Music Festival,2006,Duran Duran,Daft Punk,Tiësto,Gnarls Barkley,Clinton Cox,Music,,,2006-11,,,
2159,7.4,tt3638644,White Sun,2016,Dayahang Rai,Asha Maya Magrati,Rabindra Singh Baniya,Sumi Malla,Deepak Rauniyar,Drama,,"Anti-regime partisan Chandra confronts physical, social and political obstacles for his father's funeral. His search for a solution takes him to neighboring mountain villages and encounters with the police and rebel guerrillas. A portrait of post-civil war Nepal during the fragile deadlocked peace process.",,87,,Deepak Rauniyar
2167,,tt3664358,Ze zivota hmyzu,1973,Petr Cepek,Rudolf Jelínek,Ilja Prachar,Viktor Preiss,Jan Matejovský,Drama,,,1973,,,Karel Capek
2169,5.8,tt2988272,Shuddh Desi Romance,2013,Sushant Singh Rajput,Parineeti Chopra,Rishi Kapoor,Vaani Kapoor,Maneesh Sharma,Comedy,Drama,"A story about the hair-raising minefield between love, attraction and commitment.",2013-09-05,141,,Jaideep Sahni
2175,,tt3308694,Jingu Xixiang,1937,Ming-Yeung Kwai,Wu Tip-Ying,Suet-Fong Lee,Pak Yuk-Tong,Ying Yuen Lee,Romance,,,1937-02-14,,,
2198,,tt1570629,Mateo Falcone,2009,Hugo de Lipowski,Hiam Abbass,Patrick Le Mauff,Olivier Barascud,Eric Vuillard,Drama,,,2014-11-26,65,,Eric Vuillard
2200,7.8,tt2130080,Kids Stories,2011,,,,,Siegfried,Comedy,,,2014-10-01,90,,Siegfried
2233,,tt3162318,Star Wars: Tremors of the Force,,Stephen Chang,Patricia Raven,Ed Bergtold,Errol Spat Oktan,John Bardy,Sci-Fi,,"As the known heroes of the Rebel Alliance turn their attentions to troubles in the Bakura system, refugees from the destroyed world of Alderaan gather at New Alderaan to mourn the loss of their world.",,,,John Bardy
2238,6.9,tt2372760,Home,2013,Simon J. Berger,Lia Boysen,Moa Gammel,Lars Lind,Maximilian Hult,Drama,Romance,"Lou mostly keeps to herself, grandmother Frida grieves for her husband's death, Tom isn't good at anything, and Henrik always finds the right book in his second-hand bookshop.",2013,90,An Unexpected Love Story,Maximilian Hult
2241,,tt2345625,Lost Lagoon,2012,Diana Bang,Brad Baziw,Liz Cha,Daniel Deorksen,Rob Leickner,Drama,,"A visually provocative film about a Korean woman, whose move to Canada sets her on a darkly comic journey to self discovery.",,94,,
2260,,tt1096930,Patterijätkä,1990,Tauno Karvonen,Aliisa Pulkkinen,Ola Tuominen,,Jotaarkka Pennanen,,,,1990-02-10,,,Risto Autio
2262,8.5,tt1418104,Ade Kannu,1985,Rajkumar,,,,Chi. Dattaraj,,,,,,,
2264,,tt1227547,Chéri,1988,Valeria Moriconi,Giovanni Crippa,Massimo Serato,Margaret Mazzantini,Enzo Muzii,Comedy,,,1988,,,Colette
2265,8.3,tt2659954,Alive,2013,Mario Castillo,K.C. Collins,Danny Davalos,Shawn Desman,Randall Thorne,Drama,,"The ALIVE special tells the story of Liv, a small town dancer, who dreams of a bigger stage than the community center of Fergus...",2013-02-05,,,Dane Clark
2275,,tt1147498,Dante Diamante,1965,Bob Soler,Maggie de la Riva,Nello Nayo,Pablo Virtuoso,Ding M. De Jesus,Action,,,1965,,,Ding M. De Jesus
2277,6.4,tt2848446,Magdalena: Released from Shame,2007,Jewell Cartales,Fran Gable,Naji Hendrix,Paulah May,Charlie Jordan Brookins,Family,,,2007-03-01,,,Nancy Sawyer-Schraeder
2298,,tt1385557,Innocent: The Colin Stagg Story,2008,Mark Beardsmore,Michael Gilroy,Miranda Keeling,Colin Mace,Emma Clarke,,,,2008-12-18,,,
2332,8.3,tt2528166,Como estrellas fugaces,2012,Héctor Alterio,Eduard Fernández,Luisa Gavasa,Serena Grandi,Anna Di Francisca,Comedy,,"An Italian composer in crisis takes a break in Valencia, where he takes a shine to a famous singer.",,95,,Valentina Capecci
2333,,tt2168766,Adrift,,Cylk Cozart,Torry Martin,Eloise Warren,Anna Conover,Barbara Sundstrom,Drama,,,,,"Trapped in a storm shelter with refugees, teenage Mallory must choose the lifeline Clarence offers or go it alone.",Barbara Sundstrom
2338,5.8,tt1379724,Schatten der Gerechtigkeit,2009,Yvonne Catterfeld,Richy Müller,Oliver Korittke,Stephan Kampwirth,Hans-Günther Bücking,Thriller,,,2009-10-06,92,,Stefan Kolditz
2339,,tt1053254,Hakkenden daiippen kenzandosetsû,1916,Matsunosuke Onoe,,,,,,,,1916-03,,,Bakin Kyokutei
2353,,tt1394327,Ein Fall aus lauter Liebe,1968,Eva Pflug,Ute Gerhard,Claus Wilcke,Fritz Korn,Heribert Wenk,Comedy,,,1968-08-17,80,,Helmut Grömmer
2355,6.1,tt2333784,The Expendables 3,2014,Sylvester Stallone,Jason Statham,Jet Li,Antonio Banderas,Patrick Hughes,Action,Adventure,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",2014-08-15,126,New team. New attitude. New mission.,Sylvester Stallone
2363,,tt3231784,The Ghost and Master Boh,2008,Kohtee Aramboy,Kom Chauncheun,Jeab Chern-Yim,Jaturong Mokjok,Worapoj Pothineth,Comedy,,,2008-02-28,,,
2365,,tt1037773,Langganan,1986,Advent Bangun,H.I.M. Damsyik,Yana Diana,Yenny Farida,Atok Suharto,,,,1986,,,
2377,6.7,tt1138127,Der Märtyrer seines Herzens,1918,Fritz Kortner,Marion Illing,Anton Pointner,Else Heller,Emil Justitz,,,,,85,,Emil Justitz
2397,8.1,tt1085791,100 Lives,2009,Phil Darius Wallace,Kenon Walker,Ann Wallace,Sonny Black,Phil Darius Wallace,Drama,nan,"After the shooting death of a school teacher's daughter makes her the 100th victim, he must decide how he and his community will deal with the violence that surrounds them and discovers that the greatest change that one can make towards peace is by changing the heart.",2009,89,How far would you go to keep the peace.,Phil Darius Wallace
2420,7.9,tt2402197,The Blackest Days,2012,Sean Morelli,Ryan Andrew Smith,Jillian Petrelli,Joe Ditmyer,Korea Black,Crime,Drama,"The Six Four Soldiers were a criminal organization built on drug trafficking, robbery and murder. They would eventually become one of the most notorious gangs in United States history.",,77,Stealing is what they do. Killing is how they survive. This is who they are.,Korea Black
2424,,tt3442598,Johnny and the Scams,,Elizabeth Brissenden,Ary Katz,Dustin Coffey,Sean Mount,Elizabeth Brissenden,Comedy,,,,,,Erin Granat
2436,7.0,tt1210047,Snatched!,2010,Danilo Mancinelli,Debbie Day,Robert Ozeran,Michael Q. Schmidt,Kirk Bowman,Comedy,Crime,"After neutralizing the original curse, Guido, the jewel smuggler who was the only gangster to survive the shoot out in the warehouse...",,107,,Kirk Bowman
2449,,tt3144148,My Other Half,2013,Alyssa Ortiz,,,,Carmichael Pugliese,Horror,,"16 Years ago, A mother murdered her baby believing it was a demon. Now present day, Natasia is turning 16 and is experiencing strange things lately...",,,Family is Forever,Carmichael Pugliese
2467,,tt1906432,Mooi weer vandaag,1971,Paul Steenbergen,Ko van Dijk,Myra Ward,Enny Meunier,Berend Boudewijn,Drama,,Television registration of David Storey's play as performed by de Haagse Comedie,1971,98,,David Storey
2475,,tt3646892,Biutalia's Roses,2015,Ethan Renner,Heather Luscombe,Eloise Peiterse,David Meyer,Michael Giordano,Adventure,Drama,"The chronicles of two estranged friends, the romantic pursuits that will divide their relationship, and the strange connection they both share with an ominous Parisian eccentric.",,84,Love is a liability,Michael Giordano
2481,,tt1611833,Djecak sa Sutle,1987,Izet Hajdarhodzic,Lukrecija Breskovic,Igor Hajdarhodzic,Enes Kisevic,Josko Marusic,Family,,,1987-05-02,46,,Josko Marusic
2485,,tt2100571,Life in 24 fps,2011,Geoffrey Conder,Jonathan Ellis,Dustin A. Finerty,Reyhana Heatherington,Tabatha Golat,Comedy,,The students at Victoria Film School were given the opportunity to compete in a film making competition...,,77,A documentary about making movies...,Tabatha Golat
2505,,tt2994048,Cronicas de un Cholo,2004,Edith Alonzo,Erica Alonzo,Juan de Anda,Moses Archer,Luis Antonio Rodriguez,Action,,"The story of love and betrayal between two gang rivals. Chuco and Rumba, two stories, two lives one destiny.",,70,,
2524,,tt1588891,The Savage,,,,,,,Comedy,Romance,Centers on a woman trying to flee her impending marriage with the help of an older Frenchman.,,,,Jean-Paul Rappeneau
2563,4.1,tt1385912,I Can Do Bad All by Myself,2009,Tyler Perry,Taraji P. Henson,Adam Rodriguez,Brian White,Tyler Perry,Comedy,Drama,"When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides...",2009-09-11,113,Hope is closer than you think.,Tyler Perry
2566,,tt1866171,Ivan Lendl: Return of a Champion,2010,,,,,,Sport,,,2010-05-04,,,
2616,4.1,tt2771932,David Loman,2013,Ko-Liang Chu,Amber Kuo,Tony Yo-ning Yang,Chu Su,Li-Kwan Chiu,Comedy,,,2013-02-01,98,,Ye-Ming Wang
2624,4.5,tt1592241,...Jayate,1997,Menekka Arora,Arun Bali,Abhay Bhargav,Seema Bhargava,Hansal Mehta,Drama,,"Stuck with getting affidavits stamped and signed, alcoholic Advocate Mohan Agashe accepts a case of...",1997,,,Anurag Kashyap
2625,,tt1427203,Der Nobelpreis,1959,Carl Kuhlmann,Hans Reiser,Ernst Stankovski,Gisela Trowe,Werner Völger,Comedy,Drama,,1959-10-06,76,,Hjalmar Bergman
2634,,tt3387554,Kôshoku onna ruizukan: Oishii hitozumatachi,1996,Motoko Sasaki,Natsumi Harada,Satomi Shinozaki,Shirô Noguchi,Yutaka Ikejima,,,,1996-12-27,59,,Kyôko Godai
2644,7.0,tt3270256,Music Store Massacre,2013,David Meadows,Gordon Price,Diane Sokolowich,Wendy Dillard,Gordon Price,Crime,Horror,"Fed up with the evils of today's Society? So is Reverend Smith, but unlike you he has a remedy for it...",2013-10-27,106,,Gordon Price
2652,3.2,tt2417568,Together,2012,Lieh Lee,Shao-Yang Huang,Sonia Sui,Kenny Bee,Chao-jen Hsu,Drama,,,2012-11-30,114,,Shih-Hung Chuang
2661,,tt1207940,Halik ng Vampira,1972,Vic Vargas,Alona Alegre,Eddie Garcia,Zandro Zamora,Jose Flores Sibal,Horror,,,1972-06-10,,,Jose Flores Sibal
2669,,tt1155620,Arashiyama hanagoro goshîki tobî,1921,Matsunosuke Onoe,,,,,,,,1921-06-05,,,
2671,5.9,tt1698499,Dos,2011,David Fernández Fabu,Inés Castaño,Marina Kalogirou,Stavros Yagoulis,Stathis Athanasiou,Drama,Fantasy,"Athens & Barcelona, two cities, two love stories, two languages, two realities, two couples that will never meet, two years anniversary... or is it all one?",2011-09-01,97,"A love story , in reverse...",Stathis Athanasiou
2696,,tt3530500,Nettori-zuma onedari-zuma,1997,Kozue Aoki,Yumika Hayashi,Kazu Itsuki,Makoto Sugimoto,Minoru Inao,,,,1997-04-24,57,,
2728,,tt3358084,Disorientated,,Deborah Kara Unger,Cody Matthew Blymire,Scott Thomas Reynolds,Greg Jackson,Brian Skeet,Drama,,"Tutor is seduced into murdering students parents. A dark twisted murder mystery about sex, love and betrayal. A young man looking for a new start in life ends up embroiled in mystery and murder.",,,Do You Want To Dance?,Brian Skeet
2743,,tt2363485,Tuu tuu tupakkarulla,1973,Tapio Kouki,Maija-Liisa Marton,Marja Packalén,Matti Ruohola,Jussi Helminen,Family,,,1973-11-23,,,Kurt Nuotio
2748,,tt1785552,Setsuen,2010,Isao Hashizume,Mitsuru Fukikoshi,Miho Ôwada,Yasufumi Hayashi,Naosuke Kurosawa,Mystery,,,2010-09-29,,,Takuya Nishioka
2768,,tt1337065,The Triumph of William Henry Harrison,2009,Amanda Schmieder,Chance Mullen,Salvatore Brienik,Gerald Lazar,Daniel Glick,Comedy,,,,,From footnote to titan,Daniel Glick
2770,,tt2808352,"Wolfgang Amadeus Mozart: Don Giovanni, oder Der bestrafte Wüstling",2006,Johannes Weisser,Marcos Fink,Alexandrina Pendatchanska,Malin Byström,Georg Wübbolt,Comedy,Drama,,2006-10-06,172,,Lorenzo da Ponte
2772,3.2,tt1086694,Chirujallu,2001,Tarun,Richa Pallod,Brahmanandam,Gangadhar Panday,Shriram Balaji,Drama,,,2001-08-17,,"Love to live, Live to Love",Yamini Deva
2781,,tt1442363,Taj Aur Talwar,1961,Abdul Karim Baloch,Amy Kafira,Rattan Kumar,Laila,Riaz Ahmad,,,,1961-05-26,,,
2803,,tt1386930,Humor Me,2018,,,,,,Comedy,Romance,"After being dumped for having no sense of humor, a woman goes on a hilarious and touching journey to learn how to make people laugh and, in the process, how to be herself.",2018,,,Andrew Semans
2837,,tt1445122,Suuren oppineen Wun päivä,1965,Hannes Häyrinen,Martti Katajisto,Heikki Savolainen,Pentti Irjala,Timo Bergholm,,,,1965-05-22,50,,Peter Palitzsch
2883,,tt1669111,Durjana,1971,Hussein Abu Hassan,Nor Azizah,Norsiati,Ed Osmera,Omar Rojik,,,,1971,,,
2886,,tt3090372,HGTV Home Makeover,2013,Meg Caswell,,,,,Reality-TV,,,2013-03-23,,,
2899,,tt2962670,Well Received the Death of an Artist,2012,Beverle Bloch,Jason King,Alicia Minshew,Doug Moy,Jason King,Biography,Comedy,"We follow the career of failed filmmaker,Jeigh Pressley as he humorously drinks himself to death.",,84,,Jason King
2926,,tt1454908,Bob Hope's Pink Panther Thanksgiving Gala,1982,Julie Andrews,Bob Hope,Dean Martin,Dudley Moore,Tony Charmoli,Comedy,,"A Bob Hope Thanksgiving special that is also a tribute to the ""Pink Panther"" films.",1982-11-21,100,,
2927,6.6,tt2127374,Thin Ice,1988,Mark Parra,Jay Roberts Jr.,Alyson Davis,Troy Glennon,Rick Garside,Drama,,"THE STORY: Vince, a college student, loves the mountains, skiing and fun, so an invitation to Lake Tahoe is a no-brain-er...",1988,59,,Michael Waite
2931,4.5,tt1534092,Kasko,2009,Ali,Raghu Babu,Brahmanandam,Chalapathi Rao,G. Nageswara Reddy,Action,,,2009-11,,,Sreedhar Seepana
2943,,tt2401348,Silence,,Whitnie Mauney,Shannon Lanier,DH Lewis,Cristy Joy,Todd Braley,Drama,Thriller,"Silence is the story about KATELYN WILDE, a 24 year old woman that lives a normal life. She has 4 great friends...",,,,Todd Braley
2957,,tt1611948,Nick the Geek,2010,Nick Samaras,Iraklis Siopis,Thodoris Papageorgiu,Nick Chanakoulas,Nick Samaras,Comedy,Fantasy,"Nick is a student who moves to a new place to study for his exams. Unfortunately his roommates give him hell but he always manages to forgive them after a visit from Jesus Christ, Virgin Mary and God in his sleep..Until one day he snaps.",,78,All he asked for was some room to study.,Nick Samaras
2979,,tt2397429,Alice & Babette,,France Castel,Diane Lavallée,,,Sylvain Archambault,Comedy,,,,,,Nicole Bélanger
2988,,tt3398458,Lache Bei Ru,1938,Pak Kui-Wing,Sau-Jan Tam,Tsi-Hau Tsat,Kim-Fong Wai,Si Lo,Drama,,,1938-03-18,,,
3003,,tt2414118,Destino,2012,Kriss Cintron,Kevin Davila,Estrella Martinez,Yaddeliz Martinez,Ruben Obed Martinez,Drama,,,2012-06-20,,,
3012,,tt2632548,Ladies with Problems,2012,Gillian Carter,Heather Hall,Katy Mindeman,Mary Patton,Jason Nebergall,Comedy,Romance,A film about the modern problems that modern women face.,2012-12,75,,Jason Nebergall
3013,,tt2195873,Ang lawin ng Sta. Barbara,1978,Ramon Zamora,Carmen Ronda,Philip Gamboa,Ruby Anna,Chito B. Tapawan,,,,1978-06-08,,,Chito B. Tapawan
3020,6.0,tt1618442,The Last Witch Hunter,2015,Vin Diesel,Rose Leslie,Elijah Wood,Ólafur Darri Ólafsson,Breck Eisner,Action,Adventure,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,2015-10-23,106,Live forever. Hunt forever.,Cory Goodman
3021,,tt1740530,Okusama wa 18 sai: shinkon kyoshitsu,1971,Yuki Okazaki,Tetsuo Ishidate,Takashi Ebata,Arihiro Fujimura,Kunihiko Yamamoto,Comedy,,,1971-06-05,84,,Miyoko Motomura
3033,5.1,tt3658056,Se Venden,2013,Nicolás Martínez,Eduardo Domínguez,Ignacia Allamand,Ramón Llao,Ernesto Díaz Espinoza,Comedy,,,2013-10-22,,,Guillermo Amoedo
3044,,tt1359568,Berliner Blockade,1968,Dieter Borsche,Paul Glawion,Hans Hinrich,Knut Hartwig,Rudolf Jugert,Drama,,,1968-06-21,85,,Hans Wiese
3046,7.4,tt1615136,You to Me Are Everything,2010,Dingdong Dantes,Marian Rivera,Isabel Oli,Jaclyn Jose,Mark A. Reyes,Comedy,Romance,Rafael - a rich guy whose luck suddenly turned upside down after losing everything. When he needed to get his life back on track...,2010-05-12,113,,Aloy Adlawan
3052,,tt1965219,The Skirts of Happy Chance,1969,William Shatner,Elizabeth Ashley,George Petrie,Sydney Walker,David Pressman,Comedy,Drama,A rebellious girl working on an anti-poverty committee discovers a dishonest plot to divert funds which upsets the romance she is having with a co-worker.,1969-05-28,60,,Albert Ruben
3062,,tt2310123,Suckers,,,,,,Brian Dannelly,Comedy,,"A new high school student tells his classmates he's a vampire in order to impress them, but becomes the prime suspect in a murder investigation.",,,,Adrian Vina
3104,,tt3421018,La noche en Paz,2013,Paz Padilla,Joaquín Prat,Rosana Arbelo,Auryn,,,,,2013-12-24,,,
3123,,tt1977967,The Untitled Omar Epps Project,,Omar Epps,,,,,Romance,,This is seemingly a story about two best friends who are enjoying the single life. But then they both meet the apparent girl of their dreams and they're swept away on a journey which might lead them to love.,,,,Omar Epps
3129,7.5,tt1728981,Mother's Red Dress,2011,Timothy Driscoll,Alexandra Swarens,Alisha Seaton,Amanda Reed,Edgar Michael Bravo,Drama,Romance,A young man suffering from PTSD seeks to uncover the truth about his father's disappearance despite his mother's insistence he left the family years ago.,,84,She has a secret.,Edgar Michael Bravo
3143,,tt2056707,Strike,2012,Tiziana Confalonieri,Alex Fantinato,Maurizio Fontanelli,Virginia Magnelli,Bepper Star,Drama,,,2012-01-02,45,,Bepper Star
3147,,tt3272996,Aki no yanaga no Amachan raibu: Ôtomo Yoshihide to nakama tachi dai ongaku kai,2013,Yoshihide Ôtomo,Ryôko Egawa,Arata Furuta,Jin'ya Kimura,,Music,Talk-Show,,2013-09-13,48,,
3160,,tt1590128,Nabarupa,1992,Ayan Banerjee,Laboni Sarkar,Bhaskar Banerjee,Somasree Chaki,Amal Ray Ghatak,,,,,,,Amal Ray Ghatak
3165,3.3,tt3605262,The Sin Seer,2015,Isaiah Washington,Lisa Arrindell,Salli Richardson-Whitfield,C. Thomas Howell,Paul D. Hannah,Drama,Thriller,"Rose Ricard has a gift, she can see into your soul. She can discern the truth from a lie and sometimes...",2015-10-13,109,,Paul D. Hannah
3166,,tt2051970,Show Business,1964,Dolphy,Jose Mari,Maggie de la Riva,Apeng Daldal,Tommy C. David,Comedy,Musical,,1964-12-24,,,Bert R. Mendoza
3171,,tt1649405,Save the Future 2010: Ikimono pinchi! SOS seibutsu tayousei,2010,Norika Fujiwara,,,,,Talk-Show,,,2010-06-04,,,
3180,5.1,tt3466246,Lekeli melek,1978,Tarik Akan,Perihan Savas,Zerrin Egeliler,Firuz,Remzi Jöntürk,Drama,Romance,,1978-10-01,71,,Safa Önal
3203,,tt1421372,König Heinrich IV.,1975,Peter Mosbacher,Wolfgang Reichmann,Christian Reiner,Michael Hinz,Werner Schlechte,History,,"Henry Bolingbroke has now been crowned King of England, but faces a rebellion headed by the embittered...",1975-07-06,125,,William Shakespeare
3223,6.8,tt1584759,Tyrannosaurus Sex,2010,Michael Carroll,,,,Gabriel Gornell,Animation,,,2010-02-21,45,,Maija Norris
3224,5.8,tt1764569,Rescue Team,1983,Richard Harrison,Romano Kristoff,Don Gordon Bell,Tetchie Agbayani,Jun Gallardo,Action,Adventure,,1983,,,Don Gordon Bell
3236,,tt1784627,Sin Pulso,2011,Santiago Zapata,Jorge Almuzara,Javier Aguirre,Mauro Gibelli,Gino Marcellino,Action,,"Tells the story of Sebastian, who suffers the transformation of their four friends in zombies. Humanity perishes against infection radioactive base an evil plot of destruction.",2011-03-10,,,Matias Carrizo
3276,6.0,tt2024396,El año del tigre,2011,Luis Dubó,Sergio Hernández,Viviana Herrera,,Sebastián Lelio,Drama,,A prison inmate escapes from his wrecked penitentiary during Chile's February 2010 earthquake.,2012-05-31,82,,Gonzalo Maza
3282,5.6,tt3532284,"Miss Brackets, the Baby-sitter, the Bastard Grandson Ans Emma Suarez",2014,Pilar Alonso,Luis Callejo,Laura de la Isla,Manuel Luis,Sergio Candel,Crime,Drama,Four women are searching to find a way out of their traumas and mistakes.,,75,,Sergio Candel
3284,,tt1774439,Koya Hijiri,1983,Hanako Dodaigo,Ken Kitabayashi,Tonayama Taiji,,Tetsuji Takechi,Adult,,A young priest is on a personal pilgrimage for enlightenment through the snow covered trails of Mt. Koya in Wakayama prefecture...,,89,,Kyoka Izumi
3339,,tt3338460,Nandri Meendum Varuga,1982,Mouli,Vijayan,,,Mouli,Drama,,,1982,,,
3355,8.1,tt1537385,Annabelle & Bear,2010,Curt Massof,Olivia Walby,Ruby Harris,Jason Myres,Amy S. Weber,Drama,,"The dramatic, tender story of a man who finds himself suddenly thrust into fatherhood, and the unexpected journey that leads him to discover the life-altering love found in the heart of his little girl.",2010-02-20,100,,Tracey Sims
3370,7.4,tt1294216,La stella della porta accanto,2008,Bianca Guaccero,Giorgio Lupano,Stefania Orsola Garello,Sergio Fiorentini,Gianfranco Albano,Comedy,Romance,,2008-09-21,,,Patrizia Carrano
3375,7.5,tt1119621,Jim Norton: Monster Rain,2007,Jim Norton,Anthony Cumia,Gregg Hughes,nan,Beth McCarthy-Miller,Comedy,nan,Jim Norton performs stand up comedy.,2007-10-13,60,Cover Up and Cringe.,Jim Norton
3382,5.9,tt1778229,Days Together,2010,Erin Anderson,Brian Soika,Annie Katica Green,Laila Katica Green,Pete Monro,Comedy,Drama,"Alex (Erin Anderson) feels the pressures of needing to settle down, get married, and have kids. Everyone around her seems to be doing it...",,87,,Pete Monro
3400,,tt2354517,Toei Robot Girls,2011,Chiharu Kitaoka,Satomi Sato,Kaori Takaoka,Ayumi Tsuji,Hiroshi Ikehata,Animation,Comedy,"A trio of cute, anthropomorphic versions of the mecha from 70s anime series battle against other giant robots.",2011-07-02,,,
3408,,tt1788381,Fashion Forward: Making It,2010,Tory Burch,Ashley Greene,Joe Jonas,David Neville,,,,This special highlights the young designers and celebrities who are putting their own unique stamp on the industry today...,2010-12-08,,,
3437,5.4,tt2887234,Der Vollgasmann,2013,Uwe Ochsenknecht,Anica Dobra,Jürgen Tarrach,Andreas Hoppe,Rainer Matsutani,Comedy,,,2013-05-22,89,,Thomas Kirdorf
3441,,tt3320714,New South Wales Votes 2011,2011,Gladys Berejiklian,Quentin Dempster,Luke Foley,Antony Green,,News,,,2011-03-26,,,
3459,,tt3481710,I'm That Guy,,Silvio Pollio,,,,Silvio Pollio,Comedy,,Rico Murocco has been gay is whole life. One morning he wakes up and he's suddenly straight.,,,,Silvio Pollio
3464,,tt1666756,Die Silberflöte,1964,Leonard Steckel,Hermann Stelter,Ellen Widmann,Erna Sellmer,Theo Mezger,Comedy,,,1964-04-05,75,,Robert E. McEnroe
3498,4.7,tt2295564,McCanick,2013,David Morse,Mike Vogel,Cory Monteith,Ciarán Hinds,Josh C. Waller,Crime,Drama,"Set over the course of one day, a narcotics detective hunts for a seemingly harmless young criminal who knows a truth about the cop's past.",2014-03-21,96,The truth has stayed buried for over seven years. But now-this day-the reckoning will come.,Daniel Noah
3512,,tt2523286,Anna's Violin,,,,,,,History,,,,,,William Winebrenner
3530,,tt3384804,Who's in the House?,,,,,,,Horror,,,,,,
3555,,tt1184820,Saluto italico,1918,Ugo Bitetti,Teresa Boetti Valvassura,Mario Bruno,Igino Jaccarino,Ugo Bitetti,,,,1918-09,,,
3591,,tt2451576,Roshni,2002,Gulshan Grover,Bikram Saluja,Kashmira Shah,Milind Soman,Karan Razdan,Drama,,Rohan first meets Roshni when he comes to India for a cousin's wedding. Impulsively falls in love with Roshni and marries her...,2002-09-16,,,Karan Razdan
3596,,tt3606556,Expect a Miracle,2007,J'Lee Bartley,Casey Braun,Jeffrey Braun,John Calanni,Thomas J. Calanni,Drama,,,2009-11-17,117,,R. Patrick Holdbrook
3620,8.5,tt1185832,The Ones You Love,2013,Monica Bojko,Daniel Burress,Avia Bushyhead,Jonathan Chang,Daniel Burress,Drama,,The Ones You Love follows three strangers in the painful aftermath of losing a loved one. This hopeful...,,108,...Because You Always Hurt.,Daniel Burress
3636,,tt1587244,Pension Schöller,1965,Willi Rose,Flory Jacobi,Gertrud Emeritzky,Karin Heym,Erich Neureuther,Comedy,,,1965-07-04,90,,Carl Laufs
3672,6.4,tt2378089,Apocalypse 2012,2012,Theresa Addison,Henry Almann,George Anton,Michael Bole,George Anton,Adventure,,an Anton Pictures Original Presentation WARNING 2012 APOCALYPSE [2012] a George Anton Film in association...,,70,2012 The end of the World is here.,George Anton
3679,6.8,tt1577854,Munde U.K. De: British by Right Punjabi by Heart,2009,Jimmy Shergill,Amrinder Gill,Neeru Bajwa,Gurpreet Ghuggi,Manmohan Singh,Comedy,Drama,Tradition and culture prevent a U.K. citizen from getting married to the girl of his choice.,,149,,Manmohan Singh
3708,7.9,tt2982542,Ru,2014,Jared Egusa,Diana Lu,Geo Lee,David Lautman,Jeff Fong,Comedy,Drama,He would prefer not to kill you,,97,He would prefer not to kill you,Jeff Fong
3772,,tt1090270,Die Seefee,1975,Frank-Otto Schenk,Katrin Martin,Madeleine Lierck,Wolfgang Hosfeld,Hubert Hoelzke,Comedy,,,1975-03-02,80,,Hubert Hoelzke
